decile,median_predictor_value,age_adj_mean_logview_residual
1,22.83248,-0.06597
2,27.14757,-0.02631
3,30.91284,-0.00626
4,34.97293,0.00228
5,39.93992,0.01582
6,45.941,0.02342
7,52.70183,0.02241
8,60.53853,0.02035
9,72.12214,0.02093
10,98.03974,-0.00668
